"CO_SH6";"NO_SH6_POR";"NO_SH6_ESP";"NO_SH6_ING";"CO_SH4";"NO_SH4_POR";"NO_SH4_ESP";"NO_SH4_ING";"CO_SH2";"NO_SH2_POR";"NO_SH2_ESP";"NO_SH2_ING";"CO_NCM_SECROM";"NO_SEC_POR";"NO_SEC_ESP";"NO_SEC_ING"
"382460";"Sorbitol, exceto o poliálcool D-glucitol";"Sorbitol (exc. D-glucitol ""sorbitol"")";"Sorbitol (excl. D-glucitol [sorbitol])";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382471";"Misturas contendo clorofluorcarbonetos (CFC), mesmo que contenham hidroclorofluorcarbonetos (HCFC), perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC)";"Mezclas que contengan hidrocarburos acíclicos perhalogenados únicamente con flúor y cloro";"Mixtures containing chlorofluorocarbons CFCs, whether or not containing hydrochlorofluorocarbons HCFCs, perfluorocarbons PFCs or hydrofluorocarbons HFCs";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382472";"Misturas contendo bromoclorodifluormetano, bromotrifluormetano ou dibromotetrafluoretanos";"Mezclas que contengan bromoclorodifluorometano, bromotrifluorometano o dibromotetrafluoroetanos";"Mixtures containing bromochlorodifluoromethane, bromotrifluoromethane or dibromotetrafluoroethanes";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382473";"Misturas contendo hidrobromofluorcarbonetos (HBFC)";"Mezclas que contengan hidrobromofluorocarburos (HBFC)";"Mixtures containing hydrobromofluorocarbons HBFCs";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382474";"Misturas contendo hidroclorofluorcarbonetos (HCFC), mesmo que contenham perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC)";"Mezclas que contengan hidroclorofluorocarburos (HCFC), incluso con perfluorocarburos (PFC) o hidrofluorocarburos (HFC), pero que no contengan clorofluorocarburos (CFC)";"Mixtures containing hydrochlorofluorocarbons HCFCs, whether or not containing perfluorocarbons PFCs or hydrofluorocarbons HFCs, but not containing chlorofluorocarbons CFCs";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382475";"Misturas contendo tetracloreto de carbono";"Mezclas que contengan Tetracloruro de carbono";"Mixtures containing carbon tetrachloride";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382476";"Misturas contendo 1, 1, 1-tricloroetano (metilclorofórmio)";"Mezclas que contengan 1,1,1tricloroetano (metilcloroformo)";"Mixtures containing 1,1,1-trichloroethane methyl chloroform";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382477";"Misturas contendo bromometano (brometo de metila) ou bromoclorometano";"Mezclas que contengan bromometano (bromuro de metilo) o bromoclorometano";"Mixtures containing bromomethane methyl bromide or bromochloromethane";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382478";"Misturas contendo perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC) ou hidroclorofluorcarbonetos (HCFC)";"Mezclas que contengan perfluorocarburos (PFC) o hidrofluorocarburos (HFC), pero que no contengan clorofluorocarburos (CFC) o hidroclorofluorocarburos (HCFC)";"Mixtures containing perfluorocarbons PFCs or hydrofluorocarbons HFCs, but not containing chlorofluorocarbons CFCs or hydrochlorofluorocarbons HCFCs";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382479";"Outras misturas contendo derivados halogenados do metano, do etano ou do propano";"Mezclas que contengan derivados perhalogenados de hidrocarburos acíclicos con dos halógenos diferentes, por lo menos (exc. únicamente con flúor y cloro)";"Mixtures containing halogenated derivatives of methane, ethane or propane (excl. those of subheadings 3824.71.00 to 3824.78.00)";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382481";"Misturas e preparações contendo oxirano (óxido de etileno)";"Mezclas que contengan oxirano (óxido de etileno)";"Mixtures and preparations containing oxirane ethylene oxide";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382482";"Misturas contendo polibromobifenilas (PBB), policloroterfenilas (PCT) ou policlorobifenilas (PCB)";"Mezclas que contengan bifenilos policlorados (PCB), terfenilos policlorados (PCT) o bifenilos polibromados (PBB)";"Mixtures and preparations containing polychlorinated biphenyls PCBs, polychlorinated terphenyls PCTs or polybrominated biphenyls PBBs";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382483";"Misturas contendo fosfato de tris (2, 3-dibromopropila)";"Mezclas que contengan Fosfato de tris(2,3dibromopropilo)";"Mixtures and preparations containing tris2,3-dibromopropyl phosphate";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382484";"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham aldrin, canfecloro, clordano, clordecona , DDT, 1,1,1-tricloro-2,2-bis(p-clorofenil)etano), dieldrin, endossulfan, endrin, heptacloro ou mirex";"Las mercancías que contienen aldrín, canfeclor, clordano, clordecona, el DDT, el 1,1,1-tricloro-2,2-bis (p-clorofenil) etano), dieldrín, endosulfán, endrina, heptacloro o mirex (ISO)";"Goods containing aldrin, camphechlor, chlordane, chlordecone, DDT, 1,1,1-trichloro-2,2-bis (p-chlorophenyl) ethane), dieldrin, endosulfan, endrin, heptachlor or mirex (ISO)";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382485";"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham 1,2,3,4,5,6-hexaclorocicloexano (HCH (ISO)), incluindo o lindano (ISO, DCI)";"Las mercancías que contienen 1,2,3,4,5,6-hexaclorociclohexano (HCH (ISO)), incluido el lindano (ISO, DCI)";"Goods containing 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, DCI)";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382486";"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham pentaclorobenzeno (ISO) ou hexaclorobenzeno (ISO)";"Las mercancías que contienen pentaclorobenceno (ISO) o hexaclorobenceno (ISO)";"Goods containing pentachlorobenzene (ISO) or hexachlorobenzene (ISO)";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382487";"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham ácido perfluoroctano sulfônico, seus sais, perfluoroctanossulfonamidas, ou fluoreto de perfluoroctanossulfonila";"Las mercancías que contienen ácido sulfónico de perfluorooctano, sus sales, perfluorooctano sulfonamida, o perfluoroctanossulfonila fluoruro";"Goods containing perfluorocarbon sulfonic acid, its salts, perfluoroctane sulfonamide, or perfluoroctanosulfonyl fluoride";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382488";"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham éteres tetra-, penta-, hexa-, hepta- ou octabromodifenílicos";"Las mercancías que contienen éteres tetra-, penta-, hexa-, hepta- ou octa bromo difenílicos";"Goods containing éthers tetra-, penta-, hexa-, hepta- and octa-bromo-diphenyl";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382489";"Mercadorias especificadas na Nota de Subposição 3 deste Capítulo, contendo parafinas cloradas de cadeia curta";"Productos especificados en la nota de subpartida 3 de este capítulo, que contengan parafinas cloradas de cadena corta";"Goods specified in Subheading Note 3 to this Chapter, containing short-chain chlorinated paraffins";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382490";"Outros produtos e preparações das indústrias químicas e conexas, não incluídos em outras posições";"Productos químicos y preparaciones de la industria química o de las industrias conexas, incl. las mezclas de productos naturales, n.c.o.p.";"Chemical products and preparations of the chemical or allied industries, incl. those consisting of mixtures of natural products, n.e.s.";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382491";"Misturas e preparações constituídas principalmente por metilfosfonato de (5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-5-il)metil metila e metilfosfonato de bis[(5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-5-il)metila]";"Las mezclas y preparados que contienen principalmente metilfosfonato de (5-etil-2-metil-2-oxido-1,3,2-dioxafosfinan-5-il)metil metila y metilfosfonato de bis [(5-etil-2-óxido--1,3,2-dioxafosfinan-5-il)metila]";"Mixtures and preparations consisting mainly of methylphosphonate of (5-ethyl-2-methyl-2-oxide-1,3,2-dioxaphosphinan-5-il) methyl methyle and methylphosphonate of bis [(5-ethyl-2-methyl-2 -oxide-1,3,2-dioxaphosphinan-5-il) methyl]";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382492";"Ésteres poliglicólicos de ácido metilfosfônico";"Ésteres poliglicólicos del ácido metilfosfónico";"Polyglycol esters of methylphosphonic acid";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382499";"Outros aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluindo os constituídos por misturas de produtos naturais)";"Otros aglutinantes para moldes o núcleos de fundición preparadas; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales)";"Other binders prepared for molds or casting cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products)";"3824";"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";"Preparaciones aglutinantes para moldes o para núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte";"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382510";"Lixos municipais";"Desechos y desperdicios municipales";"Municipal waste";"3825";"Produtos residuais das indústrias químicas ou das indústrias conexas, não especificados nem compreendidos em outras posições; resíduos municipais; lamas de depuração; outros resíduos mencionados na Nota 6 do presente capítulo";"Productos residuales de la industria química o de las industrias conexas, no expresados ni comprendidos en otra parte; desperdicios urbanos (municipales); lodos de depuración; los demás desperdicios mencionados en la Nota 6 de este capítulo";"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in note 6 to this chapter";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382520";"Lamas de tratamento de esgotos";"Lodos de depuración";"Sewage sludge";"3825";"Produtos residuais das indústrias químicas ou das indústrias conexas, não especificados nem compreendidos em outras posições; resíduos municipais; lamas de depuração; outros resíduos mencionados na Nota 6 do presente capítulo";"Productos residuales de la industria química o de las industrias conexas, no expresados ni comprendidos en otra parte; desperdicios urbanos (municipales); lodos de depuración; los demás desperdicios mencionados en la Nota 6 de este capítulo";"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in note 6 to this chapter";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382530";"Lixos clínicos";"Desechos clínicos";"Clinical waste";"3825";"Produtos residuais das indústrias químicas ou das indústrias conexas, não especificados nem compreendidos em outras posições; resíduos municipais; lamas de depuração; outros resíduos mencionados na Nota 6 do presente capítulo";"Productos residuales de la industria química o de las industrias conexas, no expresados ni comprendidos en otra parte; desperdicios urbanos (municipales); lodos de depuración; los demás desperdicios mencionados en la Nota 6 de este capítulo";"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in note 6 to this chapter";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
"382541";"Resíduos halogenados de solventes orgânicos";"Desechos de disolventes orgánicos, halogenados";"Waste organic solvents, halogenated";"3825";"Produtos residuais das indústrias químicas ou das indústrias conexas, não especificados nem compreendidos em outras posições; resíduos municipais; lamas de depuração; outros resíduos mencionados na Nota 6 do presente capítulo";"Productos residuales de la industria química o de las industrias conexas, no expresados ni comprendidos en otra parte; desperdicios urbanos (municipales); lodos de depuración; los demás desperdicios mencionados en la Nota 6 de este capítulo";"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in note 6 to this chapter";"38";"Produtos diversos das indústrias químicas";"Productos diversos de las industrias químicas";"Miscellaneous chemical products";"VI";"Produtos das indústrias químicas ou indústrias conexas";"Productos de las industrias químicas o de las industrias conexas";"Products of the chemical or allied industries"
